contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
SISTERS OF MERCY OF THE AMERICAS,SISTERS OF MERCY OF THE AMERICAS,SISTERS OF MERCY OF THE AMERICAS,1,1,27
SIVNAM,SIVNAM,SIVNAM,1,1,2500
SIXGEN,SIXGEN,SIXGEN,1,1,500
SKADDEN,SKADDEN,SKADDEN,1,1,500
SKADDEN ARPS SLATE MEAGHER & FLOM LLP,SKADDEN ARPS SLATE MEAGHER & FLOM LLP,SKADDEN ARPS SLATE MEAGHER & FLOM LLP,1,1,1000
"SKADDEN ARPS SLATE MEAGHER & FLOM, LLP",SKADDEN ARPS SLATE MEAGHER & FLOM LLP,SKADDEN ARPS SLATE MEAGHER & FLOM LLP,1,1,400
SKYE ASSET MANAGEMENT LLC,SKYE ASSET MANAGEMENT LLC,SKYE ASSET MANAGEMENT LLC,1,1,6600
"SLATER & SLATER, PC","SLATER & SLATER, PC","SLATER & SLATER, PC",1,1,125
SLATER AND SLATER PC,SLATER AND SLATER PC,SLATER AND SLATER PC,1,1,100
SLEVIN & HART PC,SLEVIN & HART PC,SLEVIN & HART PC,1,1,150
SLOBPROOF,SLOBPROOF,SLOBPROOF,1,1,300
SLS CONSULTING INC,SLS CONSULTING INC,SLS CONSULTING INC,1,1,500
SMALL BUSINESS,SMALL BUSINESS,SMALL BUSINESS,1,1,30
SMART HEALTH NETWORK PBC,SMART HEALTH NETWORK PBC,SMART HEALTH NETWORK PBC,1,1,500
SMARTFINANCIALS,SMARTFINANCIALS,SMARTFINANCIALS,1,1,290.25
SMELKINSON BROTHERS,SMELKINSON BROTHERS,SMELKINSON BROTHERS,1,1,100
SMITH & NEPHEW INC,SMITH & NEPHEW INC,SMITH & NEPHEW INC,1,1,250
SMITH & NEPHEW INC.,SMITH & NEPHEW INC,SMITH & NEPHEW INC,1,1,2500
SMITHSONIAN AMERICAN ART MUSEUM,SMITHSONIAN AMERICAN ART MUSEUM,SMITHSONIAN AMERICAN ART MUSEUM,1,1,40
SMS,SMS,SMS,1,1,500
SNAGFILMS INC,SNAGFILMS INC,SNAGFILMS INC,1,1,1000
SNAGFILMS INC.,SNAGFILMS INC,SNAGFILMS INC,1,1,500
"SNAGFILMS, INC",SNAGFILMS INC,SNAGFILMS INC,1,1,1000
"SNIDER STRATEGIES, LLC","SNIDER STRATEGIES, LLC","SNIDER STRATEGIES, LLC",1,1,210
SNYDER COHN,SNYDER COHN,SNYDER COHN,1,1,250
SOAPSTONE CAPITAL,SOAPSTONE CAPITAL,SOAPSTONE CAPITAL,1,1,360
SOCIAL SECURITYADMINISTRATION,US GOV,SOCIAL SECURITY ADMINISTRATION,1,1,60
SOCIETY FOR SCIENCE,SOCIETY FOR SCIENCE,SOCIETY FOR SCIENCE,1,1,1000
SODEXO,SODEXO,SODEXO,1,1,110
SOFT TECH CONSULTING,SOFT TECH CONSULTING,SOFT TECH CONSULTING,1,1,350
SOFTWARE,SOFTWARE,SOFTWARE,1,1,870.83
SOFTWARE AG,SOFTWARE AG,SOFTWARE,1,1,45
SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION,1,1,750
SOLAXA INC,SOLAXA INC,SOLAXA INC,1,1,500
SOLTESZ ENGINEERING,SOLTESZ ENGINEERING,SOLTESZ ENGINEERING,1,1,350
SOLUTIONS ENGINEERING CORPORATION,SOLUTIONS ENGINEERING CORPORATION,SOLUTIONS ENGINEERING CORPORATION,1,1,425
SOLVENTUM CORP,SOLVENTUM CORP,SOLVENTUM CORP,1,1,250
SOMA STRATEGIES,SOMA STRATEGIES,SOMA STRATEGIES,1,1,50
SOMA STRATEGIES LLC,SOMA STRATEGIES,SOMA STRATEGIES,1,1,250
SOMALYTICS,SOMALYTICS,SOMALYTICS,1,1,50
SOMERSET DEVELOPMENT,SOMERSET DEVELOPMENT,SOMERSET DEVELOPMENT,1,1,1000
SOMERSET DEVELOPMENT CO,SOMERSET DEVELOPMENT,SOMERSET DEVELOPMENT,1,1,2000
SON'S QUALITY FOOD,SON'S QUALITY FOOD,SON'S QUALITY FOOD,1,1,6600
SONIX INC,SONIX INC,SONIX INC,1,1,321.43
SONOSKY CHAMBERS,SONOSKY CHAMBERS,SONOSKY CHAMBERS,1,1,1000
SONOSKY CHAMBERS SACHSE ENDRESON & PER,SONOSKY CHAMBERS,SONOSKY CHAMBERS,1,1,3800
SOTHEBY'S,SOTHEBY'S,SOTHEBY'S,1,1,200
SOUNDTHINKING,SOUNDTHINKING,SOUNDTHINKING,1,1,250
SOUTHERN MARYLAND AUCTION COMPANY LLC,SOUTHERN MARYLAND AUCTION COMPANY LLC,SOUTHERN MARYLAND AUCTION COMPANY LLC,1,1,1000
SOUTHERN MARYLAND DREDGING INC.,SOUTHERN MARYLAND AUCTION COMPANY LLC,SOUTHERN MARYLAND DREDGING INC.,1,1,2000
SOWEBO PSYCHIATRY,SOWEBO PSYCHIATRY,SOWEBO PSYCHIATRY,1,1,25
SPACE METRICS INC.,SPACE METRICS INC.,SPACE METRICS INC.,1,1,15
SPACE TELESCOPE,SPACE TELESCOPE,SPACE TELESCOPE,1,1,130
SPARACINO PLLC,SPARACINO PLLC,SPARACINO PLLC,1,1,500
SPECTRUM,SPECTRUM,SPECTRUM,1,1,165
SPECTRUM SCIENCE,SPECTRUM SCIENCE,SPECTRUM SCIENCE,1,1,6600
SPIEGEL & MCDIARMID,SPIEGEL & MCDIARMID,SPIEGEL & MCDIARMID,1,1,2250
SPIRIT OF FAITH,SPIRIT OF FAITH,SPIRIT OF FAITH,1,1,3300
SPIRIT OF FAITH CENTER,SPIRIT OF FAITH CENTER,SPIRIT OF FAITH CENTER,1,1,1700
SPM,SPM,SPM,1,1,6600
SPRC LLC,SPRC LLC,SPRC LLC,1,1,1015
SPRINGWELL SENIOR LIVING COMMUNNITY,SPRINGWELL SENIOR LIVING COMMUNNITY,SPRINGWELL SENIOR LIVING COMMUNNITY,1,1,1000
SPURGEON STRATEGIES,SPURGEON STRATEGIES,SPURGEON STRATEGIES,1,1,1000
SQUADRA,SQUADRA,SQUADRA,1,1,2500
SQUADRA VENTURES,SQUADRA VENTURES,SQUADRA VENTURES,1,1,1000
SQUIER KNAPP DUNN,SQUIER KNAPP DUNN,SQUIER KNAPP DUNN,1,1,500
SRI INTERNATIONAL,SRI INTERNATIONAL,SRI INTERNATIONAL,1,1,250
SS GOV RELATIONS LLC,SS GOV RELATIONS LLC,SS GOV RELATIONS LLC,1,1,250
SSA GOVERNMENT RELATIONS LLC,SSA GOVERNMENT RELATIONS LLC,SSA GOVERNMENT RELATIONS LLC,1,1,250
SSC,SSC,SSC,1,1,104.1
ST JOHN'S COLLEGE,ST JOHN'S COLLEGE,ST JOHN'S COLLEGE,1,1,750
ST JOHN'S COMMUNITY SERVICES,ST JOHN'S COMMUNITY SERVICES,ST JOHN'S COMMUNITY SERVICES,1,1,215
ST MARY'S COURT,ST MARY'S COURT,ST MARY'S COURT,1,1,275
ST PAUL AND BIDDLE,ST PAUL AND BIDDLE,ST PAUL AND BIDDLE,1,1,134
ST. JOHN THE BAPTIST SCHOOL,ST. JOHN THE BAPTIST SCHOOL,ST. JOHN THE BAPTIST SCHOOL,1,1,520.51
ST. MARY'S CO. GOV.,ST. MARY'S CO. GOV.,ST. MARY'S CO. GOV.,1,1,205
ST. OF MARYLAND,ST. OF MARYLAND,ST. OF MARYLAND,1,1,120
STAN AND JOE'S SALOON,STAN AND JOE'S SALOON,STAN AND JOE'S SALOON,1,1,260.25
STAND UP WIRELESS,STAND UP WIRELESS,STAND UP WIRELESS,1,1,5500
"STANDARD TECHNOLOGY, INC.","STANDARD TECHNOLOGY, INC.","STANDARD TECHNOLOGY, INC.",1,1,500
STANFORD PROPERTIES,STANFORD PROPERTIES,STANFORD PROPERTIES,1,1,2000
STANFORD UNIVERSITY,STANFORD UNIVERSITY,STANFORD UNIVERSITY,1,1,5
STANLEY CONSULTING GROUO,STANLEY CONSULTING GROUO,STANLEY CONSULTING GROUO,1,1,250
STAR CYPRESS PARTNERS,STAR CYPRESS PARTNERS,STAR CYPRESS PARTNERS,1,1,1000
STARBUCKS,STARBUCKS,STARBUCKS,1,1,1000
STARFLIGHT ENTERPRISES INC,STARFLIGHT ENTERPRISES INC,STARFLIGHT ENTERPRISES INC,1,1,25
STARLING UNLIMITED LLC,STARLING UNLIMITED LLC,STARLING UNLIMITED LLC,1,1,350
STATE JUDICIARY,STATE JUDICIARY,STATE JUDICIARY,1,1,1832.18
STATE OF CALIFORNIA,STATE OF CALIFORNIA,STATE OF CALIFORNIA,1,1,250
STATE OF MA,STATE OF MA,STATE OF MA,1,1,75
STATE OF MARYLAND EXECUTIVE DEPARTMENT,MARYLAND GOV,STATE OF MARYLAND EXECUTIVE DEPARTMENT,1,1,250
STATE OF MD - DJS,STATE OF MD - DJS,STATE OF MD - DJS,1,1,337.96
STATE OF MD CIRCUIT COURT FOR QUEEN AN,STATE OF MD CIRCUIT COURT FOR QUEEN AN,STATE OF MD CIRCUIT COURT FOR QUEEN AN,1,1,50
STATE OF NEW YORK,STATE OF NEW YORK,STATE OF NEW YORK,1,1,50
STATE'S ATTORNEY OFFICE,STATE'S ATTORNEY OFFICE,STATE'S ATTORNEY OFFICE,1,1,70
STATEMARYLAND,STATEMARYLAND,STATEMARYLAND,1,1,1000
STATES UNITED,STATES UNITED,STATES UNITED,1,1,1000
STEEL POINT SOLUTIONS LLC,STEEL POINT SOLUTIONS LLC,STEEL POINT SOLUTIONS LLC,1,1,250
STEIN MITCHELL,STEIN MITCHELL,STEIN MITCHELL,1,1,100
STEIN MITCHELL CIPOLLONE BEATS & MISSN,STEIN MITCHELL CIPOLLONE BEATS & MISSN,STEIN MITCHELL CIPOLLONE BEATS & MISSN,1,1,2000
STELLAR IT SOLUTION,STELLAR IT SOLUTION,STELLAR IT SOLUTION,1,1,1000
STELLAR IT SOLUTIONS INC,STELLAR IT SOLUTION,STELLAR IT SOLUTION,1,1,200
STEPHEN BENT,STEPHEN BENT,STEPHEN BENT,1,1,350
STEPTOE  JOHNSON,STEPTOE  JOHNSON,STEPTOE  JOHNSON,1,1,265.25
STEPTOE & JOHNSON,STEPTOE  JOHNSON,STEPTOE  JOHNSON,1,1,2000
STERLING WELCH LLC,STERLING WELCH LLC,STERLING WELCH LLC,1,1,500
STEVEN D SASS LLC,STEVEN D SASS LLC,STEVEN D SASS LLC,1,1,100
STEVENSON UNIVERSITY,STEVENSON UNIVERSITY,STEVENSON UNIVERSITY,1,1,50
STEWART STRATEGIES & SOLUTIONS,STEWART STRATEGIES & SOLUTIONS,STEWART STRATEGIES & SOLUTIONS,1,1,3300
STEWART STRATEGIES & SOLUTIONS LLC,STEWART STRATEGIES & SOLUTIONS,STEWART STRATEGIES & SOLUTIONS,1,1,1300
STIP LAW GROUP,STIP LAW GROUP,STIP LAW GROUP,1,1,250
STONDOH LLC,STONDOH LLC,STONDOH LLC,1,1,1000
STONE WORKS INC,STONE WORKS INC,STONE WORKS INC,1,1,1500
STONEBRIDGE,STONEBRIDGE,STONEBRIDGE,1,1,208.2
STOUT SCULPTURE STUDIO,STOUT SCULPTURE STUDIO,STOUT SCULPTURE STUDIO,1,1,200
STR,STR,STR,1,1,50
STRADA EDUCATION FOUNDATION,STRADA EDUCATION FOUNDATION,STRADA EDUCATION FOUNDATION,1,1,250
STRASSER LAW FIRM PLLC,STRASSER LAW FIRM PLLC,STRASSER LAW FIRM PLLC,1,1,1500.24
STRATEGIC MARKETING INNOVATIONS INC,STRATEGIC MARKETING INNOVATIONS INC,STRATEGIC MARKETING INNOVATIONS INC,1,1,100
STRATIVIA,STRATIVIA,STRATIVIA,1,1,1000
STREET ADVOCATES,STREET ADVOCATES,STREET ADVOCATES,1,1,3300
STRICKLAND FUNERAL SERVICES,STRICKLAND FUNERAL SERVICES,STRICKLAND FUNERAL SERVICES,1,1,500
STRIDE K12 INC,STRIDE K12 INC,STRIDE K12 INC,1,1,1000
STRUCTSURE PROJECTS,STRUCTSURE PROJECTS,STRUCTSURE PROJECTS,1,1,100
STRUM CONTRACTING COMPANY INC,STRUM CONTRACTING COMPANY INC,STRUM CONTRACTING COMPANY INC,1,1,500
STUDENT,STUDENT,STUDENT,1,1,50
STURBRIDGE DEVELOPMENT COMPANY,STURBRIDGE DEVELOPMENT COMPANY,STURBRIDGE DEVELOPMENT COMPANY,1,1,3300
SUBJECT MATTER LLC,SUBJECT MATTER LLC,SUBJECT MATTER,1,1,500
SUBURBAN PROPERTIES INC,SUBURBAN PROPERTIES INC,SUBURBAN PROPERTIES INC,1,1,3300
SUBURBAN TITLE44,SUBURBAN TITLE44,SUBURBAN TITLE44,1,1,510
SULLIVAN & WORCESTER LLP,SULLIVAN & WORCESTER LLP,SULLIVAN & WORCESTER LLP,1,1,4100
SUMMIT CONSULTING,SUMMIT CONSULTING,SUMMIT CONSULTING,1,1,1000
SUMMIT SUSTAINABILITY,SUMMIT SUSTAINABILITY,SUMMIT SUSTAINABILITY,1,1,100
SUN LIFE,SUN LIFE,SUN LIFE,1,1,600
SUNGARD AVAILABILITY SERVICES,SUNGARD AVAILABILITY SERVICES,SUNGARD AVAILABILITY SERVICES,1,1,2000
"SUNNY SLAUGHTER CONSULTING, LLC",SUNNY SLAUGHTER CONSULTING LLC,SUNNY SLAUGHTER CONSULTING LLC,1,1,666.67
SUPREME COURT OF VA,SUPREME COURT OF VA,SUPREME COURT OF VA,1,1,40
SUPREME ORTHO. SYSTEMS,SUPREME ORTHO. SYSTEMS,SUPREME ORTHO. SYSTEMS,1,1,1000
SURESCRIPTS,SURESCRIPTS,SURESCRIPTS,1,1,500
SURFACE TRANSPORTATION BOARD,SURFACE TRANSPORTATION BOARD,SURFACE TRANSPORTATION BOARD,1,1,150
SURGEON,SURGEON,SURGEON,1,1,2000
SURGERY CENTER,SURGERY CENTER,SURGERY CENTER,1,1,25
SURVICE,SURVICE,SURVICE,1,1,50
SUSAN KEEGAN,SUSAN KEEGAN,SUSAN KEEGAN,1,1,705
SUSAN KOEHN DESIGNS,SUSAN KOEHN DESIGNS,SUSAN KOEHN DESIGNS,1,1,100
SUSAN NESS STRATEGIES,SUSAN NESS STRATEGIES,SUSAN NESS STRATEGIES,1,1,2300
SUSTAINABLE AGRICULTURE AND FOOD SYSTE,SUSTAINABLE AGRICULTURE AND FOOD SYSTE,SUSTAINABLE AGRICULTURE AND FOOD SYSTE,1,1,85
SWAN & LEGEND MGMT,SWAN & LEGEND MGMT,SWAN & LEGEND MGMT,1,1,402.05
SWAY LLC,SWAY LLC,SWAY LLC,1,1,1000
SWB STRATEGIC SOLUTIONS LLC,SWB STRATEGIC SOLUTIONS LLC,SWB STRATEGIC SOLUTIONS LLC,1,1,1000
SWIFT BUNNY,SWIFT BUNNY,SWIFT BUNNY,1,1,1850
SYLVAN LEARNING CENTER,SYLVAN LEARNING CENTER,SYLVAN LEARNING CENTER,1,1,10
SYNDICATED EQUITIES GROUP,SYNDICATED EQUITIES GROUP,SYNDICATED EQUITIES GROUP,1,1,1000
SYNEREN TECHNOLOGIES,SYNEREN TECHNOLOGIES,SYNEREN TECHNOLOGIES,1,1,100
SYNERGICS,SYNERGICS,SYNERGICS,1,1,6600
SYNERGOS AMC,SYNERGOS AMC,SYNERGOS AMC,1,1,1000
SYNERGY BIS,SYNERGY BIS,SYNERGY BIS,1,1,126
SYS HOLDINGS,SYS HOLDINGS,SYS HOLDINGS,1,1,1000
SYSARC INC,SYSARC INC,SYSARC INC,1,1,500
SYSPEK REALTY INC.,SYSPEK REALTY INC.,SYSPEK REALTY INC.,1,1,520.51
SYSTEMS PLANNING AND ANALYSIS INC,SYSTEMS PLANNING AND ANALYSIS INC,SYSTEMS PLANNING AND ANALYSIS INC,1,1,1000
SYZYGY GLOBAL EDUCATION,SYZYGY GLOBAL EDUCATION,SYZYGY GLOBAL EDUCATION,1,1,3300
T&C,T&C,T&C,1,1,7.5
T-REX,T-REX,T-REX,1,1,1000
"T. CURTIS & COMPANY, P.C.","T. CURTIS & COMPANY, P.C.","T. CURTIS & COMPANY, P.C.",1,1,500
TA,TA,TA,1,1,260.25
TABLEAU,TABLEAU,TABLEAU,1,1,98
TAI GINSBERG & ASSOCIATES,TAI GINSBERG & ASSOCIATES,TAI GINSBERG & ASSOCIATES,1,1,1500
TAIWAN DEMOCRATIC PROGRESSIVE PARTY,TAIWAN DEMOCRATIC PROGRESSIVE PARTY,TAIWAN DEMOCRATIC PROGRESSIVE PARTY,1,1,100
TAIWAN DEMOCRATIC PROGRESSIVE PARTY MI,TAIWAN DEMOCRATIC PROGRESSIVE PARTY,TAIWAN DEMOCRATIC PROGRESSIVE PARTY,1,1,600
TAKEDA PHARMACEUTICALS,TAKEDA PHARMACEUTICALS,TAKEDA PHARMACEUTICALS,1,1,3300
TAKOMA THERAPY,TAKOMA THERAPY,TAKOMA THERAPY,1,1,30
TALBOT COUNTY MD,TALBOT COUNTY MD,TALBOT COUNTY MD,1,1,189
TAR HEEL CONSTRUCTION GROUP LLC LLC,TAR HEEL CONSTRUCTION GROUP LLC LLC,TAR HEEL CONSTRUCTION GROUP LLC LLC,1,1,1000
TARGET,TARGET,TARGET,1,1,30
TARGETSMART,TARGETSMART,TARGETSMART,1,1,250
TARPLIN DOWNS  YOUNG LLP,TARPLIN DOWNS  YOUNG LLP,TARPLIN DOWNS  YOUNG LLP,1,1,1500
TARPLIN DOWNS & YOUNG LLC,TARPLIN DOWNS  YOUNG LLP,TARPLIN DOWNS  YOUNG LLP,1,1,3300
TARRANT COUNTY COLLEGE,TARRANT COUNTY COLLEGE,TARRANT COUNTY COLLEGE,1,1,100
TATUM KOLLECTIVE STRATEGIES LLC,TATUM KOLLECTIVE STRATEGIES LLC,TATUM KOLLECTIVE STRATEGIES LLC,1,1,1000
TAUSTIN GROUP,TAUSTIN GROUP,TAUSTIN GROUP,1,1,1000
TAYLOR PROPERTIES,TAYLOR PROPERTIES,TAYLOR PROPERTIES,1,1,166
TB ASSOC,TB ASSOC,TB ASSOC,1,1,104.1
TC BORZILLERI,TC BORZILLERI,TC BORZILLERI,1,1,475.85
TCC,TCC,TCC,1,1,26
TCG,TCG,TCG,1,1,1000
TCG DEVELOPMENT ADVISORS,TCG DEVELOPMENT ADVISORS,TCG DEVELOPMENT ADVISORS,1,1,2000
TCG DEVELOPMENT ADVISORS LLC,TCG DEVELOPMENT ADVISORS,TCG DEVELOPMENT ADVISORS,1,1,250
TD BANK,TD BANK,TD BANK,1,1,177.68
TDA,TDA,TDA,1,1,510.25
TDSI,TDSI,TDSI,1,1,1041.98
TDY LLC,D2 LLC,TDY LLC,1,1,250
TEACHERS COLLEGE COLUMBIA UNIVERSITY,TEACHERS COLLEGE COLUMBIA UNIVERSITY,TEACHERS COLLEGE COLUMBIA UNIVERSITY,1,1,350
TECHSOURCE INC,TECHSOURCE INC,TECHSOURCE INC,1,1,500
TEDCO,TEDCO,TEDCO,1,1,100
TEE & E,TEE & E,TEE & E,1,1,250
TEMPLE BETH AMI,TEMPLE BETH AMI,TEMPLE BETH AMI,1,1,42.5
TEMPLE EMANUEL,TEMPLE EMANUEL,TEMPLE EMANUEL,1,1,200
TENABLE INC,TENABLE INC,TENABLE INC,1,1,250
TENACITY SOLUTIONS LLC,TENACITY SOLUTIONS LLC,TENACITY SOLUTIONS LLC,1,1,1000
TENDER TOTS,TENDER TOTS,TENDER TOTS,1,1,110
TENELEC INC,TENELEC INC,TENELEC INC,1,1,104.1
TENENBAUM & SAAS,TENENBAUM & SAAS,TENENBAUM & SAAS,1,1,900
TENET REAL ESTATE SOLUTIONS,TENET REAL ESTATE SOLUTIONS,TENET REAL ESTATE SOLUTIONS,1,1,250
TERAKEET,TERAKEET,TERAKEET,1,1,350
TERRA MAGNUM,TERRA MAGNUM,TERRA MAGNUM,1,1,6600
TESLA,TESLA,TESLA,1,1,1000
"TESTA DURA MEDIA, LLC","TESTA DURA MEDIA, LLC","TESTA DURA MEDIA, LLC",1,1,300
TFR SERVICES LLC,TFR SERVICES LLC,TFR SERVICES LLC,1,1,275
THADDEUS PECORAK,THADDEUS PECORAK,THADDEUS PECORAK,1,1,176.98
THAH,THAH,THAH,1,1,47.5
THE AEROSPACE CORPORATION,THE AEROSPACE CORPORATION,THE AEROSPACE CORPORATION,1,1,200
THE ANNIE E. CASEY FOUNDATION,THE ANNIE E. CASEY FOUNDATION,THE ANNIE E. CASEY FOUNDATION,1,1,1000
THE ARC OF PRINCE GEORGE'S COUNTY,THE ARC OF PRINCE GEORGE'S COUNTY,THE ARC OF PRINCE GEORGE'S COUNTY,1,1,250
THE ASCII GROUP INC,THE ASCII GROUP INC,THE ASCII GROUP INC,1,1,1000
THE ASCII GROUP INC.,THE ASCII GROUP INC,THE ASCII GROUP INC,1,1,2000
THE ASSOCIATION OF AMERICAN RAILROADS,THE ASSOCIATION OF AMERICAN RAILROADS,ASSOCIATION OF AMERICAN RAILROADS,1,1,500
THE AUSTIN GROUP LLC,THE AUSTIN GROUP LLC,THE AUSTIN GROUP LLC,1,1,2000
THE BEST BATTERY CO. INC.,THE BEST BATTERY CO. INC.,THE BEST BATTERY CO. INC.,1,1,500
THE BIT CENTER,THE BIT CENTER,THE BIT CENTER,1,1,250
THE BREAKFAST CLUB,THE BREAKFAST CLUB,THE BREAKFAST CLUB,1,1,400
THE CARLYLE GROUP INC,THE CARLYLE GROUP,THE CARLYLE GROUP,1,1,250
THE CATHOLIC UNIVERSITY OF AMERICA,THE CATHOLIC UNIVERSITY OF AMERICA,THE CATHOLIC UNIVERSITY OF AMERICA,1,1,275
THE CENTER FOR CHILD DEVELOPMENT,THE CENTER FOR CHILD DEVELOPMENT,THE CENTER FOR CHILD DEVELOPMENT,1,1,450
THE CHEMOURS COMPANY,THE CHEMOURS COMPANY,THE CHEMOURS COMPANY,1,1,15
THE CHERTOFF GROUP,THE CHERTOFF GROUP,CHERTOFF GROUP,1,1,500
THE CHILDREN'S CANCER FOUNDATION INC.,THE CHILDREN'S CANCER FOUNDATION INC.,THE CHILDREN'S CANCER FOUNDATION INC.,1,1,1000
THE CLIMATE REALITY PROJECT,THE CLIMATE REALITY PROJECT,THE CLIMATE REALITY PROJECT,1,1,250
THE CODY GROUP,THE CODY GROUP,THE CODY GROUP,1,1,1500
THE COLEMAN GROUP INC,THE COLEMAN GROUP INC,THE COLEMAN GROUP INC,1,1,500
THE COMMON MISSION PROJECT,THE COMMON MISSION PROJECT,THE COMMON MISSION PROJECT,1,1,250
THE CONTACT GROUP,THE CONTACT GROUP,THE CONTACT GROUP,1,1,500
THE CORNELIUS GROUP. INC,THE CORNELIUS GROUP. INC,THE CORNELIUS GROUP. INC,1,1,500
THE CREW WORKS INC,THE CREW WORKS INC,THE CREW WORKS INC,1,1,125
THE CROWELL GROUP,THE CROWELL GROUP,THE CROWELL GROUP,1,1,1000
THE DATA ENTRY COMPANY,THE DATA ENTRY COMPANY,THE DATA ENTRY COMPANY,1,1,1500
"THE DENSMORE GROUIP, LLC","THE DENSMORE GROUIP, LLC","THE DENSMORE GROUIP, LLC",1,1,250
THE DENSMORE GROUP,"THE DENSMORE GROUIP, LLC","THE DENSMORE GROUIP, LLC",1,1,250
THE DOLBEN COMPANY,THE DOLBEN COMPANY,THE DOLBEN COMPANY,1,1,75
THE DONALDSON GROUP,THE DONALDSON GROUP,THE DONALDSON GROUP,1,1,510.25
THE DONOHOE COMPANIES,THE DONOHOE COMPANIES,THE DONOHOE COMPANIES,1,1,100
THE DOW CHEMICAL COMPANY,THE DOW CHEMICAL COMPANY,THE DOW CHEMICAL COMPANY,1,1,500
THE DUBERSTEIN GROUP INC.,THE DUBERSTEIN GROUP,THE DUBERSTEIN GROUP,1,1,3300
THE EIRAM GROUP,THE EIRAM GROUP,THE EIRAM GROUP,1,1,3300
THE FERRYBRIDGE GROUP (SELF),THE FERRYBRIDGE GROUP (SELF),THE FERRYBRIDGE GROUP (SELF),1,1,350
THE FOUNDATION FOR THE FUTURE OF YOUTH,THE FOUNDATION FOR THE FUTURE OF YOUTH,THE FOUNDATION FOR THE FUTURE OF YOUTH,1,1,3300
THE GODDARD SCHOOL,THE GODDARD SCHOOL,THE GODDARD SCHOOL,1,1,1000
THE HEARING AND SPEECH AGENCY,THE HEARING AND SPEECH AGENCY,THE HEARING AND SPEECH AGENCY,1,1,5
THE HENRY M JACKSON FOUNDATION,THE HENRY M JACKSON FOUNDATION,HENRY M JACKSON FOUNDATION,1,1,30
THE HOBBIT RESTAURANT,THE HOBBIT RESTAURANT,THE HOBBIT RESTAURANT,1,1,500
THE HOLLINS GROUP,THE HOLLINS GROUP,THE HOLLINS GROUP,1,1,100
THE HOWARD G. BUFFETT FOUNDATION,THE HOWARD G. BUFFETT FOUNDATION,THE HOWARD G. BUFFETT FOUNDATION,1,1,3300
THE HR SOURCE,THE HR SOURCE,THE HR SOURCE,1,1,1000
THE HUMANE SOCIETY,THE HUMANE SOCIETY,THE HUMANE SOCIETY,1,1,300
THE INTER-FAITH CHAPEL,THE INTER-FAITH CHAPEL,THE INTER-FAITH CHAPEL,1,1,250
THE INVICTUS GROUP LTD.,THE INVICTUS GROUP LTD.,THE INVICTUS GROUP LTD.,1,1,300
THE JOHN HALL LAW GROUP,THE JOHN HALL LAW GROUP,THE JOHN HALL LAW GROUP,1,1,1075
THE JOHNS HOPKINS UNIVERSITY,THE JOHNS HOPKINS UNIVERSITY,JOHN'S HOPKINS UNIVERSITY,1,1,1000
THE KURLAND LAW GROUP,THE KURLAND LAW GROUP,THE KURLAND LAW GROUP,1,1,250
THE KUTLER GROUP,THE KUTLER GROUP,THE KUTLER GROUP,1,1,250
THE LIBRARY OF CONGRESS,THE LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,1,1,350
THE MANNA GROUP LLC,THE MANNA GROUP LLC,THE MANNA GROUP LLC,1,1,250
THE MARK WINKLER CO,THE MARK WINKLER CO,THE MARK WINKLER CO,1,1,1000
THE MAYATECH CORPORATION,THE MAYATECH CORPORATION,THE MAYATECH CORPORATION,1,1,100
THE MCCONNELL GROUP,THE MCCONNELL GROUP,THE MCCONNELL GROUP,1,1,250
THE MEYER GROUP,THE MEYER GROUP,THE MEYER GROUP,1,1,250
THE MICHAEL COMPANIES,THE MICHAEL COMPANIES,THE MICHAEL COMPANIES,1,1,1000
THE MORAN CO,THE MORAN CO,THE MORAN CO,1,1,500
THE MOTLEY FOOL,THE MOTLEY FOOL,THE MOTLEY FOOL,1,1,250
THE MOVEMENT COOPERATIVE,THE MOVEMENT COOPERATIVE,THE MOVEMENT COOPERATIVE,1,1,551.11
THE MYTA CORPORATION,THE MYTA CORPORATION,THE MYTA CORPORATION,1,1,500
THE NATIONAL CENTER FOR CHILDREN AND F,THE NATIONAL CENTER FOR CHILDREN AND F,THE NATIONAL CENTER FOR CHILDREN AND F,1,1,1000
THE NATIONAL GREAT BLACKS IN WAX MUSEU,THE NATIONAL GREAT BLACKS IN WAX MUSEU,THE NATIONAL GREAT BLACKS IN WAX MUSEU,1,1,15
THE NEW SCHOOL,THE NEW SCHOOL,THE NEW SCHOOL,1,1,250
THE O AGENCY,THE O AGENCY,THE O AGENCY,1,1,250
THE ORENDA CENTER FOR WELLNESS LLC,THE ORENDA CENTER FOR WELLNESS LLC,THE ORENDA CENTER FOR WELLNESS LLC,1,1,2000
THE ORIGINAL GREENE TURTLE,THE ORIGINAL GREENE TURTLE,THE ORIGINAL GREENE TURTLE,1,1,250
THE ORION GROUP INC.,THE ORION GROUP INC.,THE ORION GROUP INC.,1,1,351.15
THE PALLADIUM GROUP,THE PALLADIUM GROUP,THE PALLADIUM GROUP,1,1,500
